,date,year,month,hour,bikes_used,bike_used,year_month
83,2020-05-04T11:00:00,2020,5,11,0,191.0,2020-5
84,2020-05-04T12:00:00,2020,5,12,0,272.0,2020-5
85,2020-05-04T13:00:00,2020,5,13,0,245.0,2020-5
86,2020-05-04T14:00:00,2020,5,14,0,320.0,2020-5
87,2020-05-04T15:00:00,2020,5,15,0,376.0,2020-5
88,2020-05-04T16:00:00,2020,5,16,0,440.0,2020-5
89,2020-05-04T17:00:00,2020,5,17,0,588.0,2020-5
90,2020-05-04T18:00:00,2020,5,18,0,598.0,2020-5
91,2020-05-04T19:00:00,2020,5,19,0,430.0,2020-5
92,2020-05-04T20:00:00,2020,5,20,0,201.0,2020-5
93,2020-05-04T21:00:00,2020,5,21,0,93.0,2020-5
94,2020-05-04T22:00:00,2020,5,22,0,84.0,2020-5
95,2020-05-04T23:00:00,2020,5,23,0,55.0,2020-5
96,2020-05-05T00:00:00,2020,5,00,0,42.0,2020-5
97,2020-05-05T01:00:00,2020,5,01,0,33.0,2020-5
98,2020-05-05T02:00:00,2020,5,02,0,33.0,2020-5
99,2020-05-05T03:00:00,2020,5,03,0,34.0,2020-5
100,2020-05-05T04:00:00,2020,5,04,0,37.0,2020-5
101,2020-05-05T05:00:00,2020,5,05,0,55.0,2020-5
102,2020-05-05T06:00:00,2020,5,06,0,84.0,2020-5
103,2020-05-05T07:00:00,2020,5,07,0,153.0,2020-5
104,2020-05-05T08:00:00,2020,5,08,0,141.0,2020-5
105,2020-05-05T09:00:00,2020,5,09,0,135.0,2020-5
106,2020-05-05T10:00:00,2020,5,10,0,131.0,2020-5
107,2020-05-05T11:00:00,2020,5,11,0,147.0,2020-5
108,2020-05-05T12:00:00,2020,5,12,0,204.0,2020-5
109,2020-05-05T13:00:00,2020,5,13,0,208.0,2020-5
110,2020-05-05T14:00:00,2020,5,14,0,187.0,2020-5
111,2020-05-05T15:00:00,2020,5,15,0,232.0,2020-5
112,2020-05-05T16:00:00,2020,5,16,0,254.0,2020-5
113,2020-05-05T17:00:00,2020,5,17,0,329.0,2020-5
114,2020-05-05T18:00:00,2020,5,18,0,342.0,2020-5
115,2020-05-05T19:00:00,2020,5,19,0,222.0,2020-5
116,2020-05-05T20:00:00,2020,5,20,0,78.0,2020-5
117,2020-05-05T21:00:00,2020,5,21,0,50.0,2020-5
118,2020-05-05T22:00:00,2020,5,22,0,45.0,2020-5
119,2020-05-05T23:00:00,2020,5,23,0,47.0,2020-5
120,2020-05-06T00:00:00,2020,5,00,0,45.0,2020-5
121,2020-05-06T01:00:00,2020,5,01,0,44.0,2020-5
122,2020-05-06T02:00:00,2020,5,02,0,36.0,2020-5
123,2020-05-06T03:00:00,2020,5,03,0,39.0,2020-5
124,2020-05-06T04:00:00,2020,5,04,0,42.0,2020-5
125,2020-05-06T05:00:00,2020,5,05,0,57.0,2020-5
126,2020-05-06T06:00:00,2020,5,06,0,68.0,2020-5
127,2020-05-06T07:00:00,2020,5,07,0,79.0,2020-5
128,2020-05-06T08:00:00,2020,5,08,0,76.0,2020-5
129,2020-05-06T09:00:00,2020,5,09,0,65.0,2020-5
130,2020-05-06T10:00:00,2020,5,10,0,77.0,2020-5
131,2020-05-06T11:00:00,2020,5,11,0,90.0,2020-5
132,2020-05-06T12:00:00,2020,5,12,0,80.0,2020-5
133,2020-05-06T13:00:00,2020,5,13,0,81.0,2020-5
134,2020-05-06T14:00:00,2020,5,14,0,86.0,2020-5
135,2020-05-06T15:00:00,2020,5,15,0,107.0,2020-5
136,2020-05-06T16:00:00,2020,5,16,0,168.0,2020-5
137,2020-05-06T17:00:00,2020,5,17,0,223.0,2020-5
138,2020-05-06T18:00:00,2020,5,18,0,265.0,2020-5
139,2020-05-06T19:00:00,2020,5,19,0,192.0,2020-5
140,2020-05-06T20:00:00,2020,5,20,0,108.0,2020-5
141,2020-05-06T21:00:00,2020,5,21,0,59.0,2020-5
142,2020-05-06T22:00:00,2020,5,22,0,51.0,2020-5
143,2020-05-06T23:00:00,2020,5,23,0,36.0,2020-5
144,2020-05-07T00:00:00,2020,5,00,0,28.0,2020-5
145,2020-05-07T01:00:00,2020,5,01,0,27.0,2020-5
146,2020-05-07T02:00:00,2020,5,02,0,27.0,2020-5
147,2020-05-07T03:00:00,2020,5,03,0,28.0,2020-5
148,2020-05-07T04:00:00,2020,5,04,0,34.0,2020-5
149,2020-05-07T05:00:00,2020,5,05,0,47.0,2020-5
150,2020-05-07T06:00:00,2020,5,06,0,75.0,2020-5
151,2020-05-07T07:00:00,2020,5,07,0,137.0,2020-5
