date,year,month,hour,bikes_used,bike_used,year_month
2020-05-04T17:00:00,2020,5,17,0,588.0,2020-5
2020-05-04T18:00:00,2020,5,18,0,598.0,2020-5
2020-05-04T19:00:00,2020,5,19,0,430.0,2020-5
2020-05-04T20:00:00,2020,5,20,0,201.0,2020-5
2020-05-04T21:00:00,2020,5,21,0,93.0,2020-5
2020-05-04T22:00:00,2020,5,22,0,84.0,2020-5
2020-05-04T23:00:00,2020,5,23,0,55.0,2020-5
2020-05-05T00:00:00,2020,5,0,0,42.0,2020-5
2020-05-05T01:00:00,2020,5,1,0,33.0,2020-5
2020-05-05T02:00:00,2020,5,2,0,33.0,2020-5
2020-05-05T03:00:00,2020,5,3,0,34.0,2020-5
2020-05-05T04:00:00,2020,5,4,0,37.0,2020-5
2020-05-05T05:00:00,2020,5,5,0,55.0,2020-5
2020-05-05T06:00:00,2020,5,6,0,84.0,2020-5
2020-05-05T07:00:00,2020,5,7,0,153.0,2020-5
2020-05-05T08:00:00,2020,5,8,0,141.0,2020-5
2020-05-05T09:00:00,2020,5,9,0,135.0,2020-5
2020-05-05T10:00:00,2020,5,10,0,131.0,2020-5
2020-05-05T11:00:00,2020,5,11,0,147.0,2020-5
2020-05-05T12:00:00,2020,5,12,0,204.0,2020-5
2020-05-05T13:00:00,2020,5,13,0,208.0,2020-5
2020-05-05T14:00:00,2020,5,14,0,187.0,2020-5
2020-05-05T15:00:00,2020,5,15,0,232.0,2020-5
2020-05-05T16:00:00,2020,5,16,0,254.0,2020-5
2020-05-05T17:00:00,2020,5,17,0,329.0,2020-5
2020-05-05T18:00:00,2020,5,18,0,342.0,2020-5
2020-05-05T19:00:00,2020,5,19,0,222.0,2020-5
2020-05-05T20:00:00,2020,5,20,0,78.0,2020-5
2020-05-05T21:00:00,2020,5,21,0,50.0,2020-5
2020-05-05T22:00:00,2020,5,22,0,45.0,2020-5
2020-05-05T23:00:00,2020,5,23,0,47.0,2020-5
2020-05-06T00:00:00,2020,5,0,0,45.0,2020-5
2020-05-06T01:00:00,2020,5,1,0,44.0,2020-5
2020-05-06T02:00:00,2020,5,2,0,36.0,2020-5
2020-05-06T03:00:00,2020,5,3,0,39.0,2020-5
2020-05-06T04:00:00,2020,5,4,0,42.0,2020-5
2020-05-06T05:00:00,2020,5,5,0,57.0,2020-5
2020-05-06T06:00:00,2020,5,6,0,68.0,2020-5
2020-05-06T07:00:00,2020,5,7,0,79.0,2020-5
2020-05-06T08:00:00,2020,5,8,0,76.0,2020-5
2020-05-06T09:00:00,2020,5,9,0,65.0,2020-5
2020-05-06T10:00:00,2020,5,10,0,77.0,2020-5
2020-05-06T11:00:00,2020,5,11,0,90.0,2020-5
2020-05-06T12:00:00,2020,5,12,0,80.0,2020-5
2020-05-06T13:00:00,2020,5,13,0,81.0,2020-5
2020-05-06T14:00:00,2020,5,14,0,86.0,2020-5
2020-05-06T15:00:00,2020,5,15,0,107.0,2020-5
2020-05-06T16:00:00,2020,5,16,0,168.0,2020-5
2020-05-06T17:00:00,2020,5,17,0,223.0,2020-5
2020-05-06T18:00:00,2020,5,18,0,265.0,2020-5
2020-05-06T19:00:00,2020,5,19,0,192.0,2020-5
2020-05-06T20:00:00,2020,5,20,0,108.0,2020-5
2020-05-06T21:00:00,2020,5,21,0,59.0,2020-5
2020-05-06T22:00:00,2020,5,22,0,51.0,2020-5
2020-05-06T23:00:00,2020,5,23,0,36.0,2020-5
2020-05-07T00:00:00,2020,5,0,0,28.0,2020-5
